Time(s),CH1(V)
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0076E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.303116E-02
1.0077E+01,1.737488E-02
1.0077E+01,1.737488E-02
